ORGANISATION NAME,EFEFCTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,13-Dec-24,357.48 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002343798
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,13-Dec-24,"4,877.86 ",RESIDENTIAL LONG TERM,V002343799
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,ROOKWOOD,13-Dec-24,"1,360.04 ",RESIDENTIAL LONG TERM,V002343800
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,CALTON SYSTEMS LIMITED,13-Dec-24,"1,422.00 ",RESIDENTIAL LONG TERM,V002343801
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,13-Dec-24,986.68 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002343802
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,13-Dec-24,986.68 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002343802
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,13-Dec-24,"3,053.00 ",RESIDENTIAL LONG TERM,V002343803
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,13-Dec-24,"3,053.00 ",RESIDENTIAL LONG TERM,V002343803
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,13-Dec-24,"2,649.38 ",RESIDENTIAL LONG TERM,V002343804
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,13-Dec-24,"2,649.38 ",RESIDENTIAL LONG TERM,V002343804
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,13-Dec-24,248.26 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002343805
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,13-Dec-24,"1,396.48 ",RESIDENTIAL LONG TERM,V002343806
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,AUTISM PLUS LIMITED,13-Dec-24,"1,222.92 ",RESIDENTIAL LONG TERM - MARKET FACTOR,V002343807
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,AUTISM PLUS LIMITED,13-Dec-24,"1,222.92 ",RESIDENTIAL LONG TERM - MARKET FACTOR,V002343807
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,AUTISM PLUS LIMITED,13-Dec-24,"5,615.54 ",RESIDENTIAL LONG TERM,V002343808
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,AUTISM PLUS LIMITED,13-Dec-24,"5,615.54 ",RESIDENTIAL LONG TERM,V002343808
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,13-Dec-24,"3,731.22 ",RESIDENTIAL LONG TERM,V002343809
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,13-Dec-24,"3,731.22 ",RESIDENTIAL LONG TERM,V002343809
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,HELME HALL LTD,13-Dec-24,776.30 ,RESIDENTIAL LONG TERM - MARKET FACTOR,V002343810
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,HELME HALL LTD,13-Dec-24,"4,033.70 ",RESIDENTIAL LONG TERM,V002343811
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,13-Dec-24,"3,144.72 ",RESIDENTIAL LONG TERM - MARKET FACTOR,V002343812
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,13-Dec-24,"1,396.48 ",RESIDENTIAL LONG TERM,V002343813
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,BROOKFIELD CARE HOME,13-Dec-24,"1,360.04 ",RESIDENTIAL LONG TERM,V002343814
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,BROOKFIELD CARE HOME,13-Dec-24,"1,360.04 ",RESIDENTIAL LONG TERM,V002343814
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,13-Dec-24,"1,607.10 ",RESIDENTIAL LONG TERM - MARKET FACTOR,V002343815
ROCHDALE BOROUGH COUNCIL,13-Dec-24,ADULT CARE LCO FUNCTIONS,HEALEY CARE LTD,13-Dec-24,"1,607.10 ",RESIDENTIAL LONG TERM - MARKET FACTOR,V002343815
